Date,Start,Planned (s),Actual (s),Completed,Sound,Note
28.02.2026,12:00,2700,2700,true,none,Theravada
27.02.2026,19:57,60,60,true,chugpi,
27.02.2026,18:30,3600,3600,true,none,Kwan Um
27.02.2026,18:19,60,6,false,chugpi,
27.02.2026,18:18,60,4,false,bell,
27.02.2026,13:53,300,300,true,bell-high,Dom
26.02.2026,20:53,300,300,true,bell,
26.02.2026,16:27,600,600,true,bell,
26.02.2026,16:06,600,600,true,bell,Dom
26.02.2026,06:30,1800,1800,true,none,Kwan Um
26.02.2026,06:25,1202,4,false,chugpi,
25.02.2026,16:24,1500,1500,true,bell-high,Dom
24.02.2026,22:20,1500,1500,true,none,Dom
23.02.2026,16:50,900,900,true,none,Dom
22.02.2026,16:22,11400,11400,true,none,Pusta Chmura
21.02.2026,07:23,900,900,true,none,Dom
20.02.2026,18:30,3600,3600,true,none,Kwan Um
